Folder|Original|Commons
1_SIRIA - Palmira|Palmira _Tempio di Bel|Palmira._T.del_bel_temenos_angolo_sud-ovest._-_DecArch_1-1.jpg
1_SIRIA - Palmira|Palmira _Tempio di Bel|Palmira._T.di_bel_porticato_ovest._-_DecArch_1-2.jpg
1_SIRIA - Palmira|Palmira _Tempio di Bel|Palmira._Temenos_T._di_bel_ingresso_facciata_interna_lato_ovest._-_DecArch_1-3.jpg
1_SIRIA - Palmira|Palmira _Tempio di Bel|Palmira._Temenos_T._di_bel_ingresso_facciata_interna_lato_ovest._-_DecArch_1-4.jpg
1_SIRIA - Palmira|Palmira _Tempio di Bel|Palmira._Temenos_T._di_bel_ingresso_facciata_interna_lato_ovest._-_DecArch_1-5.jpg
1_SIRIA - Palmira|Palmira _Tempio di Bel|Palmira._Temenos_T._di_bel_ingresso_facciata_interna_lato_ovest._-_DecArch_1-6.jpg
1_SIRIA - Palmira|Palmira _Tempio di Bel|Palmira._Temenos_T._di_bel._-_DecArch_1-7.jpg
1_SIRIA - Palmira|Palmira _Tempio di Bel|Palmira._Temenos_T._di_bel._Plastico_-_DecArch_1-8.jpg
1_SIRIA - Palmira|Palmira|Palmira_-_DecArch_1-9.jpg
1_SIRIA - Palmira|Palmira|Palmira._Pianta._maggio_-_DecArch_1-10.jpg
1_SIRIA - Palmira|Palmira _Tempio di Bel|Palmira._T._di_bel._-_DecArch_1-11.jpg
1_SIRIA - Palmira|Palmira _Tempio di Bel|Palmira._Cella_T_di_bel._-_DecArch_1-12.jpg
1_SIRIA - Palmira|Palmira _Tempio di Bel|Palmira._Cella_T._di_bel._-_DecArch_1-13.jpg
1_SIRIA - Palmira|Palmira _Tempio di Bel|Palmira._Cella_T._di_bel._Adyton_Nord._-_DecArch_1-14.jpg
1_SIRIA - Palmira|Palmira _Tempio di Bel|Palmira._T._di_bel._Portale_d'ingresso_._-_DecArch_1-15.jpg
1_SIRIA - Palmira|Palmira|16)_Alfa_35_-_DecArch_1-16.jpg
1_SIRIA - Palmira|Palmira|Alfa_34._Palmira._T._di_bel._Temenos,_lato_Ovest_(ingresso)._-_DecArch_1-17.jpg
1_SIRIA - Palmira|Palmira_Arco monumentale|Palmira._Arco_monumentale,_facciata_verso_tetrapilo,_fornice_lat._-_DecArch_1-18.jpg
1_SIRIA - Palmira|Palmira_Arco monumentale|Palmira._Arco_monumentale,_facciata_verso_tetrapilo._-_DecArch_1-19.jpg
1_SIRIA - Palmira|Palmira_Arco monumentale|Palmira._Arco_monumentale,_facciata_verso_tetrapilo,_fornice_entrale._Bia_-_DecArch_1-20.jpg
1_SIRIA - Palmira|Palmira_Arco monumentale|Palmira._Arco_monumentale._-_DecArch_1-21.jpg
1_SIRIA - Palmira|Palmira_Arco monumentale|Palmira._Arco_monumentale._-_DecArch_1-22.jpg
1_SIRIA - Palmira|Palmira_Arco monumentale|Palmira._Arco_monumentale,_facciata_verso_T._di_Bel._._-_DecArch_1-23.jpg
1_SIRIA - Palmira|Palmira_via colonnata tra Tempio di Bel e Arco|Palmira._Via_colonnata_tra_T._di_bel_e_Arco._-_DecArch_1-24.jpg
1_SIRIA - Palmira|Palmira_via colonnata tra Tempio di Bel e Arco|Palmira._Via_colonnata_tra_T._di_bel_e_Arco,_part_di_X_2._-_DecArch_1-25.jpg
